序号,名称,网址后缀
167,['[计算机][linux0.12内核学习]'],['/torrents/441786/']
168,['[计算机][Windows8开发资源光盘][ISO]'],['/torrents/440744/']
169,['[计算机][MLDN魔乐科技_直击面试系列_破解Java面试题]'],['/torrents/440597/']
170,['[计算机][abaqus学习教程另附光盘文件]'],['/torrents/438626/']
171,['[信号与系统视频教程 北邮 吕玉琴][视频][非常不错的视频课程]'],['/torrents/436560/']
172,['[开放课程][斯坦福大学 如何写论文(Writing in the Sciences)][MP4]'],['/torrents/436459/']
173,['[计算机][计算机书籍大全 ][文档][PDF]'],['/torrents/435942/']
174,['[外语][剑桥高级英语语法书第二版_.Cambridge.Advanced.Grammar.in.Use._][文档][PDF]'],['/torrents/435190/']
175,['[开放课程][拜欧拉大学公开课:爱情那些事(全1-4集)]'],['/torrents/434390/']
176,['[蒋勋  细说红楼梦〔1-80回〕][音频][MP3]'],['/torrents/431316/']
177,['[美的沉思(全集)－蒋勋][音频][MP3]'],['/torrents/431307/']
178,['[计算机][非常全面的ANSYS教程]'],['/torrents/427013/']
179,['[课件][Matlab学习集锦(有PPT/视频教程/典例)][文档]'],['/torrents/421291/']
180,['[课件][人体解剖生理学]'],['/torrents/415825/']
181,['[开放课程][最优化算法][中科院研究生课程]'],['/torrents/314361/']
182,['[书法字帖][各种字帖杂集]'],['/torrents/309041/']
183,['[外语][乔布斯斯坦福演讲][音频][MP3]'],['/torrents/307236/']
184,['[景印文渊阁四库全书(全1500册)][格式为DJVU]'],['/torrents/297938/']
185,['[计算机][很全的Origin教程(视频+电子书)]'],['/torrents/297614/']
186,['[计算机][vc++视频教程(孙鑫vc++视频教程二十集+上海交大c++教程][视频][RMVB]'],['/torrents/292189/']
187,['[计算机][C语言经典书籍集合][文档][PDF]'],['/torrents/288442/']
188,['[外语][国际交流英语考试(TOEIC托业)资料][电子书及听力材料]'],['/torrents/288395/']
189,['[计算机][黑客攻防实战入门+详解][文档][PDF]'],['/torrents/286368/']
190,['[开放课程][斯坦福大学开放课程 : 编程范式][视频][Open Stanford course : Programming Paradigms]'],['/torrents/274623/']
191,['[计算机][韩顺平_玩转oracle][视频][WMV]'],['/torrents/258555/']
192,['[中国科学技术大学精品课程:概率论与数理统计][视频][WMV]'],['/torrents/256663/']
193,['[外语][长喜英语六级真题听力][音频][MP3]'],['/torrents/254731/']
194,"[""[Let's python视频][视频][WMV]""]",['/torrents/248713/']
195,['[泛函分析 视频教程]'],['/torrents/245900/']
196,['[课件][斯坦福大学开放课程:凸优化][文档][m4v+pdf]'],['/torrents/241662/']
197,['[外语][Oral English雅思口语训练最佳素材][音频][MP3]'],['/torrents/240889/']
198,['[计算机][CATIA教学视频]'],['/torrents/235183/']
199,['[外语][走遍美国资料][资料+视频]'],['/torrents/232285/']
200,['[计算机][JavaScript入门到精通系列视频][视频][avi]'],['/torrents/231615/']
